,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
144,2021,Data Scientist,MI,FT,"6,564,484.00","78,773.81",US,US,S,100
145,2021,Data Engineer,MI,FT,"7,956,950.00","95,483.40",US,US,L,100
146,2021,Machine Learning Engineer,SE,FT,"6,583,899.00","79,006.79",BE,BE,M,50
147,2021,Research Scientist,MI,FT,"4,984,950.00","59,819.40",FR,FR,M,50
148,2021,Data Engineer,MI,FT,"7,161,255.00","85,935.06",US,US,L,100
149,2021,Data Engineering Manager,SE,FT,"12,174,134.00","146,089.61",US,US,L,100
150,2021,Cloud Data Engineer,SE,FT,"12,731,120.00","152,773.44",BR,US,S,100
151,2021,Director of Data Science,SE,FT,"13,367,676.00","160,412.11",JP,JP,S,0
152,2021,Data Scientist,MI,FT,"11,935,425.00","143,225.10",US,US,M,100
153,2021,Data Scientist,MI,FT,"6,029,299.00","72,351.59",CA,CA,L,100
154,2021,Data Scientist,EN,FT,"1,066,231.00","12,794.77",UA,UA,L,100
155,2021,Data Science Manager,SE,FT,"11,458,008.00","137,496.10",US,US,L,100
156,2021,Data Science Engineer,SE,FT,"10,122,911.00","121,474.93",CA,CA,L,50
157,2021,Data Scientist,MI,FT,"9,473,465.00","113,681.58",SG,IL,M,100
158,2021,Applied Machine Learning Scientist,MI,FT,"33,657,899.00","403,894.79",US,US,L,50
159,2021,Data Analytics Manager,SE,FT,"9,548,340.00","114,580.08",US,US,M,100
160,2021,Machine Learning Engineer,EN,FT,"9,946,188.00","119,354.26",US,US,S,100
161,2021,Head of Data,EX,FT,"18,300,985.00","219,611.82",RU,RU,L,50
162,2021,Head of Data Science,EX,FT,"6,763,408.00","81,160.90",RU,RU,M,0
163,2021,Data Engineer,MI,FT,"2,257,307.00","27,087.68",MT,MT,L,50
164,2021,Data Science Consultant,EN,FT,"5,079,001.00","60,948.01",DE,DE,L,50
165,2021,Director of Data Science,EX,FT,"10,346,104.00","124,153.25",DE,DE,M,50
166,2021,Data Specialist,SE,FT,"13,128,968.00","157,547.62",US,US,L,100
167,2021,Data Engineer,EN,FT,"6,365,560.00","76,386.72",US,US,L,100
168,2021,Director of Data Science,EX,FT,"19,892,375.00","238,708.50",US,US,L,0
169,2021,BI Data Analyst,EN,FT,"4,376,323.00","52,515.88",US,US,S,50
170,2021,Data Architect,MI,FT,"11,935,425.00","143,225.10",US,US,L,100
171,2021,Data Architect,MI,FT,"13,526,815.00","162,321.78",US,US,L,100
172,2021,Data Engineer,MI,FT,"6,566,712.00","78,800.54",GB,GB,L,100
173,2021,Data Analyst,EN,FT,"4,774,170.00","57,290.04",US,US,S,100
174,2021,Principal Data Scientist,SE,FT,"18,698,833.00","224,386.00",US,US,L,100
175,2021,Research Scientist,SE,FT,"4,834,404.00","58,012.85",PT,PT,L,50
176,2021,Data Engineering Manager,SE,FT,"13,845,093.00","166,141.12",US,US,L,100
177,2021,Data Scientist,MI,FT,"227,489.00","2,729.87",MX,MX,S,0
178,2021,Data Scientist,MI,FT,"3,185,804.00","38,229.65",CL,CL,L,100
